method,stage,metric,direction,mean,ci95_low,ci95_high,between_train_seed_sd,between_eval_seed_sd,train_seed_count,eval_seed_count,episodes_per_cell
no_attention,multi_extreme,cover_latency_seconds,lower,24.827933144562092,22.825374976966334,26.997623187181084,0.27028646412974716,0.5961539457074974,3,3,5
no_attention,multi_extreme,cover_latency_p90_seconds,lower,49.31688910590279,43.65664733547636,55.97539215087888,2.042593582831291,2.655857158330691,3,3,5
no_attention,multi_extreme,strict_response_sla_success_rate,higher,0.08567014438825718,0.06187891054472764,0.11051419904832409,0.006742994824010917,0.003475283313048157,3,3,5
no_attention,multi_extreme,active_steam_mean,lower,3.7534791666666676,3.6022499999999997,3.8960913194444444,0.09007417612646366,0.06384563904449571,3,3,5
no_attention,multi_extreme,action_delta_mean,lower,0.028699690550537657,0.027028602901201206,0.03071304731068794,0.0012085462930371724,0.0006648851788482156,3,3,5
no_carry,multi_low,coverage_rate,higher,0.9151074173546492,0.9032417077248007,0.9279831086650594,0.004369406414172204,0.004880184868822735,3,3,5
no_carry,multi_low,cover_latency_seconds,lower,12.972438430955428,12.06689254439258,13.92741568209605,0.5005961523536,0.4756777472476413,3,3,5
no_carry,multi_low,cover_latency_p90_seconds,lower,24.750333285861547,23.167552630106613,26.295891414218477,0.45749588324733603,0.5706557825958037,3,3,5
no_carry,multi_low,strict_response_sla_success_rate,higher,0.16694152716582505,0.1319000974130524,0.20365892355246115,0.023959010764452903,0.007974137796667743,3,3,5
no_carry,multi_low,active_steam_mean,lower,2.313430555555556,2.263583159722222,2.3641671875000005,0.027293275503894335,0.015757732522773068,3,3,5
no_carry,multi_low,action_delta_mean,lower,0.025824031702883873,0.024003954066010996,0.027545436480453732,0.0005744560278851544,0.0015203350574535576,3,3,5
no_carry,multi_realistic,coverage_rate,higher,0.9029358178073595,0.8887714089713922,0.9219868647099841,0.0068282473754301175,0.009606490875606163,3,3,5
no_carry,multi_realistic,cover_latency_seconds,lower,15.726360552791721,14.626274547558873,16.793646293652014,0.7386323054972567,0.4725929155945517,3,3,5
no_carry,multi_realistic,cover_latency_p90_seconds,lower,29.30622233072917,26.373080677456326,32.104599980672205,1.7037112592759547,1.2207004156321777,3,3,5
no_carry,multi_realistic,strict_response_sla_success_rate,higher,0.146918985806886,0.11251975630615545,0.1787825057518948,0.02261698174388742,0.011812183785183797,3,3,5
no_carry,multi_realistic,active_steam_mean,lower,2.813673611111111,2.7342526041666666,2.873152951388889,0.04160762657398716,0.029096950409762224,3,3,5
no_carry,multi_realistic,action_delta_mean,lower,0.02625963903807075,0.02498252109226168,0.027288599203408165,0.0003114333425791691,0.000539617218972829,3,3,5
no_carry,multi_hard,coverage_rate,higher,0.8733127719864229,0.855586163433544,0.8915388995683308,0.008328238342248656,0.0038462771569776587,3,3,5
no_carry,multi_hard,cover_latency_seconds,lower,20.196866170463377,18.512478223534785,21.918512781754362,1.124969460148138,0.6803175704466107,3,3,5
no_carry,multi_hard,cover_latency_p90_seconds,lower,39.29900000678168,34.77827228461372,44.26690008544922,3.654203657443959,0.7303269572674163,3,3,5
no_carry,multi_hard,strict_response_sla_success_rate,higher,0.13271622007245318,0.10463828423742105,0.15758726782736446,0.009160852669345779,0.011834027123783696,3,3,5
no_carry,multi_hard,active_steam_mean,lower,3.514430555555555,3.3888123263888894,3.63280642361111,0.09307893466678556,0.04807601372893592,3,3,5
no_carry,multi_hard,action_delta_mean,lower,0.027355180852069408,0.026216368136235364,0.02858378753598291,0.00027541415931379233,0.0005868172256545879,3,3,5
no_carry,multi_extreme,coverage_rate,higher,0.8483301026781933,0.8249143347079824,0.8715765791925408,0.006042130355557255,0.003579865738103881,3,3,5
no_carry,multi_extreme,cover_latency_seconds,lower,23.329868607128017,21.314021223653896,25.709587518078795,1.413757306112238,1.225224941431886,3,3,5
no_carry,multi_extreme,cover_latency_p90_seconds,lower,44.06577806260851,38.806589296129026,50.00794478861489,3.6384061907659975,1.4283629016412742,3,3,5
no_carry,multi_extreme,strict_response_sla_success_rate,higher,0.07834914314600412,0.05493832655132683,0.100579809430418,0.00332495041110742,0.0058920076195225005,3,3,5
no_carry,multi_extreme,active_steam_mean,lower,3.775756944444445,3.630943229166667,3.9509536458333336,0.01887898152144518,0.08349392425638845,3,3,5
no_carry,multi_extreme,action_delta_mean,lower,0.02937967463218871,0.027476015254353035,0.031110586709285782,0.00027342463310016385,0.0009504213323795019,3,3,5
no_prediction,multi_low,coverage_rate,higher,0.9218259765570541,0.9076868439655033,0.9392328229873381,0.0074461281622952786,0.009202377006955961,3,3,5
no_prediction,multi_low,cover_latency_seconds,lower,13.021048458362484,12.122089187274089,14.017220817354739,0.20463396041166804,0.3052453700672532,3,3,5
no_prediction,multi_low,cover_latency_p90_seconds,lower,24.751666632758244,22.66533345031738,27.791564046223957,0.8859341650643834,1.6154733347230694,3,3,5
no_prediction,multi_low,strict_response_sla_success_rate,higher,0.1778153754873443,0.1418321061871326,0.2157599330525135,0.011488503743380648,0.015237975823279886,3,3,5
no_prediction,multi_low,active_steam_mean,lower,2.3183125,2.2528125,2.3822935763888893,0.012612531659469118,0.03272180587713838,3,3,5
no_prediction,multi_low,action_delta_mean,lower,0.02543210231422158,0.02434412719514503,0.026719455655900413,0.00021351550111294517,0.0005783796284362268,3,3,5
no_prediction,multi_realistic,coverage_rate,higher,0.9094657771439019,0.8879590505706862,0.9311607751018667,0.009930045371450104,0.006709875079720113,3,3,5
no_prediction,multi_realistic,cover_latency_seconds,lower,16.520387962066277,15.214347597003798,17.906018984671437,0.39109449507566385,0.4749858353788667,3,3,5
no_prediction,multi_realistic,cover_latency_p90_seconds,lower,29.95444458007813,27.113333264668785,33.0338000301785,1.366481518293893,1.4542714885337245,3,3,5
no_prediction,multi_realistic,strict_response_sla_success_rate,higher,0.13650913693754566,0.10668568556232763,0.1654688995636378,0.00390358311051085,0.006554764223689141,3,3,5
no_prediction,multi_realistic,active_steam_mean,lower,2.8446597222222225,2.786222048611111,2.902896354166667,0.020470383557941518,0.02315415142062562,3,3,5
no_prediction,multi_realistic,action_delta_mean,lower,0.025885203231647017,0.024610043554841,0.027152356647128506,0.00038152758409399934,0.00041236276630017126,3,3,5
no_prediction,multi_hard,coverage_rate,higher,0.8730508885754307,0.8502735980193081,0.8961965439126518,0.012019988335750955,0.010163746323453153,3,3,5
no_prediction,multi_hard,cover_latency_seconds,lower,19.558894469154097,17.805484472666596,21.623536939302515,0.12955455360629098,1.7909774693811875,3,3,5
no_prediction,multi_hard,cover_latency_p90_seconds,lower,35.72388885498047,31.77054722086589,39.6297002766927,1.503736259992088,2.691445933955276,3,3,5
no_prediction,multi_hard,strict_response_sla_success_rate,higher,0.11977707490118596,0.09257987068624382,0.15075246027490052,0.009589445529728515,0.014036739979104613,3,3,5
no_prediction,multi_hard,active_steam_mean,lower,3.4488055555555555,3.3250687499999994,3.5794930555555555,0.03455747234211345,0.1039768297951968,3,3,5
no_prediction,multi_hard,action_delta_mean,lower,0.0281951285741784,0.026171294984959504,0.030671533147299077,0.0006825952539978215,0.0016788313995411655,3,3,5
no_prediction,multi_extreme,coverage_rate,higher,0.8488460782501435,0.8267954281525572,0.8714616888939922,0.008970368935930425,0.0015999182054163281,3,3,5
no_prediction,multi_extreme,cover_latency_seconds,lower,22.428020454797732,20.183452236588455,24.764622433333578,0.26662488721743066,1.5416646992092684,3,3,5
no_prediction,multi_extreme,cover_latency_p90_seconds,lower,43.62333346896701,36.915908101399744,49.942221837361664,2.279568824381559,2.3865978351748085,3,3,5
no_prediction,multi_extreme,strict_response_sla_success_rate,higher,0.10202443716214248,0.07023003317343285,0.13288394809035317,0.015332337659851761,0.0065293049355041165,3,3,5
no_prediction,multi_extreme,active_steam_mean,lower,3.7323402777777774,3.5722682291666663,3.873111284722223,0.01169001260375392,0.13023542773658592,3,3,5
no_prediction,multi_extreme,action_delta_mean,lower,0.02789684068075492,0.02587640462626377,0.029599349433356466,0.0010880952400927743,0.001177419902589834,3,3,5
no_service_reward,multi_low,coverage_rate,higher,0.9261608371438556,0.9112211683609129,0.9410710000425424,0.006270629357342527,0.006957877787223364,3,3,5
no_service_reward,multi_low,cover_latency_seconds,lower,12.64647203160209,11.208991884622298,14.138184455990844,0.8286913606153353,0.8728144361240006,3,3,5
no_service_reward,multi_low,cover_latency_p90_seconds,lower,23.945111016167534,21.56146652730306,26.2687887802124,0.9001501783219352,1.8990336597672037,3,3,5
no_service_reward,multi_low,strict_response_sla_success_rate,higher,0.17633395560948506,0.13913878100812657,0.21249317427399206,0.019920677466524348,0.005810400326738156,3,3,5
no_service_reward,multi_low,active_steam_mean,lower,2.2890694444444444,2.186180208333334,2.375668055555555,0.04731658820832212,0.05802992647676002,3,3,5
no_service_reward,multi_low,action_delta_mean,lower,0.025748441597044976,0.02433244403495611,0.027232097898811015,0.0007544310003362544,0.0008160871909527272,3,3,5
no_service_reward,multi_realistic,coverage_rate,higher,0.9042331074987108,0.8871438625207783,0.9223036260334647,0.010789228996016465,0.0011487268535054094,3,3,5
no_service_reward,multi_realistic,cover_latency_seconds,lower,15.958697085438349,14.885874185876824,17.19527512403725,0.7755265729056895,0.2449841162289133,3,3,5
no_service_reward,multi_realistic,cover_latency_p90_seconds,lower,29.713222045898434,27.277097209506564,32.757707827250165,1.192068719374121,1.7467987031601286,3,3,5
no_service_reward,multi_realistic,strict_response_sla_success_rate,higher,0.1367384691522315,0.10965447978053107,0.16177215840843112,0.014377313049057455,0.012002627937142648,3,3,5
no_service_reward,multi_realistic,active_steam_mean,lower,2.8081249999999995,2.7340276041666662,2.8679999999999994,0.05252041187190408,0.021602348444864576,3,3,5
no_service_reward,multi_realistic,action_delta_mean,lower,0.025435819594807747,0.0242935971423429,0.026707228054840743,0.0006502803811762376,0.0005462800868853786,3,3,5
no_service_reward,multi_hard,coverage_rate,higher,0.862151155998346,0.837490843389572,0.8887358636176679,0.01695615369880547,0.013475045308273838,3,3,5
no_service_reward,multi_hard,cover_latency_seconds,lower,19.661105332956353,17.96178390937299,21.70652863633028,0.7772992859775955,0.8393849678199015,3,3,5
no_service_reward,multi_hard,cover_latency_p90_seconds,lower,38.00455569797092,33.81710856713189,43.59778375413679,1.3809019770443267,2.315059782918043,3,3,5
no_service_reward,multi_hard,strict_response_sla_success_rate,higher,0.12221321100145072,0.08708084542205202,0.1637914940814905,0.025898405435350803,0.016272671520808225,3,3,5
no_service_reward,multi_hard,active_steam_mean,lower,3.4498680555555565,3.3367776041666652,3.5453428819444435,0.047824959039981546,0.05106561229691891,3,3,5
no_service_reward,multi_hard,action_delta_mean,lower,0.027623338414256828,0.025943386401538076,0.02961039059555447,0.0008455466255434176,0.0007521154906512212,3,3,5
no_service_reward,multi_extreme,coverage_rate,higher,0.848995397369269,0.8133436178875669,0.8745981537300505,0.014429373447550508,0.01782086406803742,3,3,5
no_service_reward,multi_extreme,cover_latency_seconds,lower,22.76693039519728,19.79549212696047,25.599573462757572,0.9749716562210189,0.8796906539011845,3,3,5
no_service_reward,multi_extreme,cover_latency_p90_seconds,lower,41.29044440375434,34.70722186279298,47.941969362046954,3.056489339872298,1.8691831651183226,3,3,5
no_service_reward,multi_extreme,strict_response_sla_success_rate,higher,0.10267132622540055,0.07283756153830474,0.13487689823886576,0.007733461877368428,0.00645571005841146,3,3,5
no_service_reward,multi_extreme,active_steam_mean,lower,3.7290833333333335,3.5267484374999998,3.931568055555554,0.08130909175964117,0.11631425382282679,3,3,5
no_service_reward,multi_extreme,action_delta_mean,lower,0.02855866412516237,0.026808207069224602,0.030447307358270063,0.00034995056829069274,0.0011851861495964068,3,3,5
no_residual,multi_low,coverage_rate,higher,0.8379469131750557,0.7120224182174953,0.9152737861119725,0.10234897637021967,0.020099061399858686,3,3,5
no_residual,multi_low,cover_latency_seconds,lower,17.053104286990674,14.419525397111789,21.647332792784034,1.929402228954361,2.513772123924686,3,3,5
no_residual,multi_low,cover_latency_p90_seconds,lower,36.49222239176433,29.383405864291724,47.870561470879444,4.930663669505272,5.67733980833399,3,3,5
no_residual,multi_low,strict_response_sla_success_rate,higher,0.16192450590990212,0.10098760622799524,0.21746541103887787,0.034267191443898344,0.015380721986000387,3,3,5
no_residual,multi_low,active_steam_mean,lower,2.5823750000000003,2.427540104166666,2.749626736111111,0.16778146050616938,0.030506943654046013,3,3,5
no_residual,multi_low,action_delta_mean,lower,0.022264428243241558,0.020027544563941457,0.024105702948181755,0.0021035250002179933,0.0005229011241681879,3,3,5
no_residual,multi_realistic,coverage_rate,higher,0.7764603213563749,0.6674181428951166,0.864501431422983,0.09804481556012622,0.007131613669686938,3,3,5
no_residual,multi_realistic,cover_latency_seconds,lower,23.350106204031302,18.701554415461754,29.242910409176798,2.7583650386438325,2.2685131502512417,3,3,5
no_residual,multi_realistic,cover_latency_p90_seconds,lower,48.834889289008245,35.83942521158855,64.55965978325732,7.521745694057908,7.032601515413185,3,3,5
no_residual,multi_realistic,strict_response_sla_success_rate,higher,0.12155073542547298,0.06725798626660695,0.1681150489316898,0.011215706945877741,0.03340104663390524,3,3,5
no_residual,multi_realistic,active_steam_mean,lower,3.086777777777778,2.9488281249999995,3.251764062500001,0.11629072116340017,0.048511964863873464,3,3,5
no_residual,multi_realistic,action_delta_mean,lower,0.021162519051518922,0.019005364143843625,0.023346514933917473,0.0022652738995018735,0.0003604163750564458,3,3,5
no_residual,multi_hard,coverage_rate,higher,0.7259950454299177,0.5896538019428943,0.8374154785488611,0.12486245542657722,0.018270133575699628,3,3,5
no_residual,multi_hard,cover_latency_seconds,lower,24.963639391740017,19.25252330268201,32.15947870670996,5.171766417259986,1.5117084145754147,3,3,5
no_residual,multi_hard,cover_latency_p90_seconds,lower,51.66433320363363,36.506521927621634,68.44700815412736,12.904873699336736,4.788661928299789,3,3,5
no_residual,multi_hard,strict_response_sla_success_rate,higher,0.11106114275787178,0.06638024902538969,0.15043766891987384,0.01562988920501174,0.0061649840092514955,3,3,5
no_residual,multi_hard,active_steam_mean,lower,3.651006944444444,3.429374479166667,3.9812901041666655,0.11719527813693108,0.18330337389362725,3,3,5
no_residual,multi_hard,action_delta_mean,lower,0.02184719666633547,0.01990779471225499,0.023594781812139646,0.001837122384824494,0.0003264864662720015,3,3,5
no_residual,multi_extreme,coverage_rate,higher,0.6865025334184486,0.5850246512746513,0.7925829500782275,0.09641938445050112,0.025781123661116748,3,3,5
no_residual,multi_extreme,cover_latency_seconds,lower,30.966841289582266,23.836519153787247,39.87053151588119,1.7553778657525185,3.178709108345919,3,3,5
