main_method,other_method,stage,metric,direction,main_mean,other_mean,delta_main_minus_other,delta_ci95_low,delta_ci95_high,p_value,p_value_holm_4_stages,main_better
ours,no_prediction,multi_realistic,cover_latency_seconds,lower,16.04035205655089,16.520387962066277,-0.4800359055153862,-2.05279698104313,0.9651160382032921,0.5038748062596871,1.0,True
ours,no_prediction,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,29.95444458007813,-0.25855570475260947,-4.845666993882929,3.654157887776688,0.9358532073396331,1.0,True
ours,no_prediction,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.13650913693754566,0.010844103449165338,-0.02440167241223573,0.04485259522337012,0.4999750012499375,1.0,True
ours,no_prediction,multi_realistic,active_steam_mean,lower,2.84025,2.8446597222222225,-0.0044097222222223564,-0.07356267361111106,0.05751458333333325,0.9150542472876356,1.0,True
ours,no_prediction,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.025885203231647017,0.00019184248009263688,-0.0010585077749684555,0.001392402901680432,0.7444627768611569,1.0,False
ours,no_prediction,multi_hard,coverage_rate,higher,0.8696093499821506,0.8730508885754307,-0.0034415385932801135,-0.04384526934760406,0.03414323423163373,0.8747562621868906,1.0,False
ours,no_prediction,multi_hard,cover_latency_seconds,lower,19.58663826266317,19.558894469154097,0.02774379350907097,-1.4913724100451384,1.6036260026428837,0.9893505324733763,1.0,False
ours,no_prediction,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,35.72388885498047,2.3788889906141435,-2.397332695855035,7.8635444920857545,0.3049847507624619,1.0,False
ours,no_prediction,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.11977707490118596,0.007500123927523847,-0.01670984775731329,0.03247962926161775,0.5106744662766861,1.0,True
ours,no_prediction,multi_hard,active_steam_mean,lower,3.4913958333333333,3.4488055555555555,0.042590277777777796,-0.07632656250000053,0.181507291666665,0.4846757662116894,1.0,False
ours,no_prediction,multi_hard,action_delta_mean,lower,0.027697294922070542,0.0281951285741784,-0.0004978336521078569,-0.0032400385172248808,0.0018370525665997485,0.7413629318534073,1.0,True
ours,no_prediction,multi_extreme,coverage_rate,higher,0.8545737600631842,0.8488460782501435,0.00572768181304073,-0.03315543252572955,0.040272941337745345,0.6977651117444128,1.0,True
ours,no_prediction,multi_extreme,cover_latency_seconds,lower,23.87839625483577,22.428020454797732,1.4503758000380387,-1.7265028454730165,4.222351975018868,0.2949852507374631,1.0,False
ours,no_prediction,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,43.62333346896701,2.3893331570095526,-6.5736004028320405,11.92840982733831,0.5809709514524274,1.0,False
ours,no_prediction,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.10202443716214248,0.0010648896165204452,-0.031537146995946,0.027065721269349117,0.871456427178641,1.0,True
ours,no_prediction,multi_extreme,active_steam_mean,lower,3.806645833333334,3.7323402777777774,0.07430555555555651,-0.1127598958333338,0.26950781250000017,0.4208789560521974,1.0,False
ours,no_prediction,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.02789684068075492,0.0010248389023776137,-0.0016101812898234478,0.005356885912622577,0.6092695365231738,1.0,False
ours,no_service_reward,multi_low,coverage_rate,higher,0.9171764399394717,0.9261608371438556,-0.00898439720438382,-0.027272181607521283,0.011795925018484572,0.28148592570371483,1.0,False
ours,no_service_reward,multi_low,cover_latency_seconds,lower,12.535319995503887,12.64647203160209,-0.11115203609820412,-1.5373753361411442,1.2024866564861538,0.8620568971551422,1.0,True
ours,no_service_reward,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,23.945111016167534,0.20200012207030937,-1.50544992319743,1.918114768134221,0.8036598170091496,1.0,False
ours,no_service_reward,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.17633395560948506,0.005123046661088176,-0.04270284181619153,0.054863891434892585,0.8609569521523924,1.0,True
ours,no_service_reward,multi_low,active_steam_mean,lower,2.2980625,2.2890694444444444,0.008993055555555518,-0.0859307291666663,0.12176684027777741,0.9000549972501375,1.0,False
ours,no_service_reward,multi_low,action_delta_mean,lower,0.025353604773400196,0.025748441597044976,-0.00039483682364477996,-0.0018869446401567945,0.001073075995032529,0.5579721013949303,1.0,True
ours,no_service_reward,multi_realistic,coverage_rate,higher,0.9006493850238878,0.9042331074987108,-0.00358372247482297,-0.03206748567779113,0.029218832597540628,0.7371631418429079,1.0,False
ours,no_service_reward,multi_realistic,cover_latency_seconds,lower,16.04035205655089,15.958697085438349,0.08165497111254183,-1.4520037929752463,1.5817029906882658,0.8940552972351382,1.0,False
ours,no_service_reward,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,29.713222045898434,-0.017333170572914725,-4.029430812411849,3.953014033847377,0.9887505624718764,1.0,True
ours,no_service_reward,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.1367384691522315,0.010614771234479486,-0.028961519214689,0.05264131391475517,0.5957702114894255,1.0,True
ours,no_service_reward,multi_realistic,active_steam_mean,lower,2.84025,2.8081249999999995,0.032125000000000625,-0.05595225694444495,0.12950052083333344,0.45807709614519276,1.0,False
ours,no_service_reward,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.025435819594807747,0.0006412261169319068,-0.0011750221410908744,0.0022821273566375655,0.4063796810159492,1.0,False
ours,no_service_reward,multi_hard,coverage_rate,higher,0.8696093499821506,0.862151155998346,0.00745819398380454,-0.027299666437760692,0.039100140485834066,0.6218689065546723,1.0,True
ours,no_service_reward,multi_hard,cover_latency_seconds,lower,19.58663826266317,19.661105332956353,-0.07446707029318489,-2.0399632110055257,1.8534214071404387,0.9443527823608819,1.0,True
ours,no_service_reward,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,38.00455569797092,0.09822214762369441,-5.833461103651254,6.0677578175862585,0.9807509624518774,1.0,False
ours,no_service_reward,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.12221321100145072,0.005063987827259087,-0.025679807751317518,0.03791495946705723,0.704164791760412,1.0,True
ours,no_service_reward,multi_hard,active_steam_mean,lower,3.4913958333333333,3.4498680555555565,0.04152777777777672,-0.08933628472222216,0.15831284722222183,0.4744762761861907,1.0,False
ours,no_service_reward,multi_hard,action_delta_mean,lower,0.027697294922070542,0.027623338414256828,7.395650781371471e-05,-0.0024204133307712318,0.0021636070696119435,0.9030548472576371,1.0,False
ours,no_service_reward,multi_extreme,coverage_rate,higher,0.8545737600631842,0.848995397369269,0.0055783626939152064,-0.030602909944140954,0.047589815409979884,0.8013599320033998,1.0,True
ours,no_service_reward,multi_extreme,cover_latency_seconds,lower,23.87839625483577,22.76693039519728,1.1114658596384892,-2.122987185247377,4.552096419088707,0.4423778811059447,1.0,False
ours,no_service_reward,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,41.29044440375434,4.722222222222221,-4.310602979871978,14.892003480699328,0.28758562071896404,1.0,False
ours,no_service_reward,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.10267132622540055,0.0004180005532623682,-0.03680738345273892,0.03569795146780833,0.96005199740013,1.0,True
ours,no_service_reward,multi_extreme,active_steam_mean,lower,3.806645833333334,3.7290833333333335,0.07756250000000042,-0.11475017361111015,0.30225486111111144,0.4271786410679466,1.0,False
ours,no_service_reward,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.02855866412516237,0.00036301545797016305,-0.0026038442199028335,0.0036853340934499624,0.8065596720163992,1.0,False
