main_method,other_method,stage,metric,direction,main_mean,other_mean,delta_main_minus_other,delta_ci95_low,delta_ci95_high,p_value,p_value_holm_4_stages,main_better
ours,risk_aware,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,24.090666402180993,0.056444736056850076,-2.667008041381837,2.934222446017788,0.9778511074446278,1.0,False
ours,risk_aware,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.19360050007463797,-0.012143497804064735,-0.05172707307952321,0.028661725646034183,0.5223738813059347,1.0,False
ours,risk_aware,multi_low,active_steam_mean,lower,2.2980625,2.326520833333333,-0.02845833333333303,-0.13110434027777793,0.06402083333333321,0.5701714914254288,1.0,True
ours,risk_aware,multi_low,action_delta_mean,lower,0.025353604773400196,0.02308406060998959,0.0022695441634106063,-4.5029677432483175e-05,0.0047223226749678986,0.05469726513674316,0.16409179541022947,False
ours,risk_aware,multi_realistic,coverage_rate,higher,0.9006493850238878,0.9005329618007974,0.00011642322309035613,-0.025136076387937682,0.025014995260903457,0.9911504424778761,1.0,True
ours,risk_aware,multi_realistic,cover_latency_seconds,lower,16.04035205655089,16.178214505317893,-0.13786244876700238,-1.408732664558674,1.0345518944355054,0.8473576321183941,0.8473576321183941,True
ours,risk_aware,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,31.087333170572922,-1.3914442952474033,-6.128677828470877,2.490252794053814,0.5367731613419329,1.0,True
ours,risk_aware,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.13829682994288547,0.009056410443825519,-0.024418879022367227,0.04119026497598085,0.56027198640068,1.0,True
ours,risk_aware,multi_realistic,active_steam_mean,lower,2.84025,2.8335625,0.006687499999999957,-0.05620208333333325,0.0647986111111112,0.7846607669616519,1.0,False
ours,risk_aware,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.022902766787421012,0.0031742789243186416,0.0009784923891961483,0.0055240414635039856,0.0036998150092495377,0.014799260036998151,False
ours,risk_aware,multi_hard,coverage_rate,higher,0.8696093499821506,0.8355188249082112,0.03409052507393939,-0.01562779574144875,0.095233978388151,0.2182890855457227,0.8731563421828908,True
ours,risk_aware,multi_hard,cover_latency_seconds,lower,19.58663826266317,18.291783629623662,1.294854633039506,-1.147959512454398,3.6577156315590265,0.2975851207439628,0.736363181840908,False
ours,risk_aware,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,35.428666890462246,2.6741109551323703,-2.868524512396931,7.3197864303589055,0.29478526073696315,1.0,False
ours,risk_aware,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.13066628786257942,-0.0033890890338696134,-0.06368586569514423,0.04994457911265438,0.9353532323383831,1.0,False
ours,risk_aware,multi_hard,active_steam_mean,lower,3.4913958333333333,3.5012708333333338,-0.009875000000000522,-0.3579583333333338,0.2714803819444433,0.999850007499625,1.0,True
ours,risk_aware,multi_hard,action_delta_mean,lower,0.027697294922070542,0.026096634604703416,0.001600660317367126,-0.0021232886260372343,0.0040280679961641735,0.3128843557822109,0.3128843557822109,False
ours,risk_aware,multi_extreme,coverage_rate,higher,0.8545737600631842,0.8631591152582762,-0.00858535519509196,-0.04799227005159454,0.029434010897013578,0.6548672566371682,1.0,False
ours,risk_aware,multi_extreme,cover_latency_seconds,lower,23.87839625483577,26.939859648179134,-3.061463393343363,-8.669095958353422,1.219450339930347,0.184090795460227,0.736363181840908,True
ours,risk_aware,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,53.14833292643229,-7.135666300455725,-20.924384877522783,4.830222234090155,0.2600869956502175,1.0,True
ours,risk_aware,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.1170593282187485,-0.013970001440085575,-0.05918576447490662,0.030896030821536975,0.5255737213139343,1.0,False
ours,risk_aware,multi_extreme,active_steam_mean,lower,3.806645833333334,3.7449791666666665,0.061666666666667425,-0.2196628472222221,0.3477921875000009,0.6660666966651667,1.0,False
ours,risk_aware,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.026660856016813502,0.002260823566319032,-0.00018604015936562996,0.0054419998204683125,0.07179641017949102,0.16409179541022947,False
ours,no_residual,multi_low,coverage_rate,higher,0.9171764399394717,0.8379469131750557,0.07922952676441608,0.004668551781434498,0.20390203586088737,0.02759862006899655,0.02759862006899655,True
ours,no_residual,multi_low,cover_latency_seconds,lower,12.535319995503887,17.053104286990674,-4.517784291486787,-9.29305721854323,-1.8797615940591592,0.0002999850007499625,0.00119994000299985,True
ours,no_residual,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,36.49222239176433,-12.345111253526486,-23.76063375854493,-5.437000070359985,0.0010999450027498626,0.00439978001099945,True
ours,no_residual,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.16192450590990212,0.019532496360671114,-0.035303076333871086,0.07822950097038124,0.47427628618569073,1.0,True
ours,no_residual,multi_low,active_steam_mean,lower,2.2980625,2.5823750000000003,-0.2843125000000004,-0.45123958333333253,-0.12741614583333283,0.00039998000099995,0.0015999200039998,True
