step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
10,-0.32967030781466394,1.419313907623291,-0.05838781222701073,0,1.641534686088562,0.09240525215864182,0.47723248709216076,0.14730032459538206,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.4241903126932797,1.4196698665618896,-0.05823509395122528,0,1.641534686088562,0.09240525215864182,0.4789135639191183,0.14729908407371267,0.04230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.42914722620293894,1.4200907945632935,-0.058042801916599274,0,1.641534686088562,0.09240525215864182,0.48062311686511733,0.1472977988485597,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.4340787023394851,1.4205790758132935,-0.05780690908432007,0,1.641534686088562,0.09240525215864182,0.4823627440796958,0.14729650244753584,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
14,-0.4389687810763764,1.4211366176605225,-0.05752364918589592,0,1.641534686088562,0.09240525215864182,0.4841338201949739,0.14729525074999555,0.05384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:14.0;1:1.65751:-0.37849:9.0;2:1.86871:0.21352:4.0
15,-0.4438202074755937,1.4217652082443237,-0.05718953534960747,0,1.641534686088562,0.09240525215864182,0.4859376527878464,0.14729409963529333,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:15.0;1:1.65751:-0.37849:10.0;2:1.86871:0.21352:5.0
16,-0.4486470752791707,1.4224658012390137,-0.05680134892463684,0,1.641534686088562,0.09240525215864182,0.48777520298321025,0.14729302675168737,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:16.0;1:1.65751:-0.37849:11.0;2:1.86871:0.21352:6.0
17,-0.4534493138982195,1.4232394695281982,-0.05635613203048706,0,1.641534686088562,0.09240525215864182,0.4896474319059625,0.14729216620962848,0.06538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:17.0;1:1.65751:-0.37849:12.0;2:1.86871:0.21352:7.0
18,-0.4582355236914431,1.4240866899490356,-0.05585118755698204,0,1.641534686088562,0.09240525215864182,0.49155507716358215,0.14729149565737465,0.06923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:18.0;1:1.65751:-0.37849:13.0;2:1.86871:0.21352:8.0
19,-0.4630128170339852,1.425007700920105,-0.055284056812524796,0,1.641534686088562,0.09240525215864182,0.4934986975496141,0.14729108215015158,0.07307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,dense,0:1.64153:0.09241:19.0;1:1.65751:-0.37849:14.0;2:1.86871:0.21352:9.0
