step,reward,cover_x,cover_y,selected_target_id,selected_target_x,selected_target_y,selected_target_risk_score,route_confidence,route_stagnation_score,coverage_rate,effective_coverage_rate,cover_latency_seconds,cover_latency_p90_seconds,response_sla_success_rate,strict_response_sla_success_rate,success_count,spawned_count,missed_count,steam_count,pending_steam_count,burst_lull_phase,active_steams
10,-0.2944898705382798,1.419313907623291,-0.05838781222701073,0,1.641534686088562,0.09240525215864182,0.48002968988936356,0.15009752739258486,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:10.0;1:1.65751:-0.37849:5.0;2:1.86871:0.21352:0.0
11,-0.37238059701544685,1.4196698665618896,-0.05823509022593498,0,1.641534686088562,0.09240525215864182,0.4819904869960414,0.15009628687091547,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:11.0;1:1.65751:-0.37849:6.0;2:1.86871:0.21352:1.0
12,-0.37759099397129003,1.4200907945632935,-0.058042801916599274,0,1.641534686088562,0.09240525215864182,0.4839797602217607,0.1500950016457625,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:12.0;1:1.65751:-0.37849:7.0;2:1.86871:0.21352:2.0
13,-0.3827593169466274,1.420578956604004,-0.05780690535902977,0,1.641534686088562,0.09240525215864182,0.48599907418844673,0.15009371642060948,0.05909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:13.0;1:1.65751:-0.37849:8.0;2:1.86871:0.21352:3.0
14,-0.38788852644577754,1.4211366176605225,-0.05752364546060562,0,1.641534686088562,0.09240525215864182,0.4880499041110578,0.1500924535471983,0.06363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:14.0;1:1.65751:-0.37849:9.0;2:1.86871:0.21352:4.0
15,-0.39298944508978634,1.4217650890350342,-0.05718953162431717,0,1.641534686088562,0.09240525215864182,0.4901334234560379,0.15009129125662524,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:15.0;1:1.65751:-0.37849:10.0;2:1.86871:0.21352:5.0
16,-0.39806402796715895,1.4224658012390137,-0.05680134519934654,0,1.641534686088562,0.09240525215864182,0.4922507386346056,0.15009024072476107,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:16.0;1:1.65751:-0.37849:11.0;2:1.86871:0.21352:6.0
17,-0.40312185590548716,1.4232394695281982,-0.05635612830519676,0,1.641534686088562,0.09240525215864182,0.49440268783707814,0.15008938018270213,0.07727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:17.0;1:1.65751:-0.37849:12.0;2:1.86871:0.21352:7.0
18,-0.40816466255050754,1.4240866899490356,-0.055851180106401443,0,1.641534686088562,0.09240525215864182,0.4965900421985472,0.1500886984545775,0.08181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:18.0;1:1.65751:-0.37849:13.0;2:1.86871:0.21352:8.0
19,-0.4131990019151533,1.425007700920105,-0.0552840530872345,0,1.641534686088562,0.09240525215864182,0.49881338286429944,0.1500882625956126,0.08636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,3,3,charging,0:1.64153:0.09241:19.0;1:1.65751:-0.37849:14.0;2:1.86871:0.21352:9.0
